,Trial,Stimulus 1 Value,Stimulus 1 Std,Stimulus 2 Value,Stimulus 2 Std,Comparison Result
104,11.0,2.0,0.5,-2.6999999999999997,0.1,True
105,11.0,2.0,0.5,-2.6999999999999997,0.1,True
106,11.0,2.0,0.5,-2.6999999999999997,0.1,True
107,11.0,2.0,0.5,-2.6999999999999997,0.1,True
108,11.0,2.0,0.5,-2.6999999999999997,0.1,True
109,11.0,2.0,0.5,-2.6999999999999997,0.1,True
110,12.0,2.0,0.5,-2.599999999999999,0.1,True
111,12.0,2.0,0.5,-2.599999999999999,0.1,True
112,12.0,2.0,0.5,-2.599999999999999,0.1,True
113,12.0,2.0,0.5,-2.599999999999999,0.1,True
114,12.0,2.0,0.5,-2.599999999999999,0.1,True
115,12.0,2.0,0.5,-2.599999999999999,0.1,True
116,12.0,2.0,0.5,-2.599999999999999,0.1,True
117,12.0,2.0,0.5,-2.599999999999999,0.1,True
118,12.0,2.0,0.5,-2.599999999999999,0.1,True
119,12.0,2.0,0.5,-2.599999999999999,0.1,True
120,13.0,2.0,0.5,-2.499999999999999,0.1,True
121,13.0,2.0,0.5,-2.499999999999999,0.1,True
122,13.0,2.0,0.5,-2.499999999999999,0.1,True
123,13.0,2.0,0.5,-2.499999999999999,0.1,True
124,13.0,2.0,0.5,-2.499999999999999,0.1,True
125,13.0,2.0,0.5,-2.499999999999999,0.1,True
126,13.0,2.0,0.5,-2.499999999999999,0.1,True
127,13.0,2.0,0.5,-2.499999999999999,0.1,True
128,13.0,2.0,0.5,-2.499999999999999,0.1,True
129,13.0,2.0,0.5,-2.499999999999999,0.1,True
130,14.0,2.0,0.5,-2.399999999999999,0.1,True
131,14.0,2.0,0.5,-2.399999999999999,0.1,True
132,14.0,2.0,0.5,-2.399999999999999,0.1,True
133,14.0,2.0,0.5,-2.399999999999999,0.1,True
134,14.0,2.0,0.5,-2.399999999999999,0.1,True
135,14.0,2.0,0.5,-2.399999999999999,0.1,True
136,14.0,2.0,0.5,-2.399999999999999,0.1,True
137,14.0,2.0,0.5,-2.399999999999999,0.1,True
138,14.0,2.0,0.5,-2.399999999999999,0.1,True
139,14.0,2.0,0.5,-2.399999999999999,0.1,True
140,15.0,2.0,0.5,-2.299999999999999,0.1,True
141,15.0,2.0,0.5,-2.299999999999999,0.1,True
142,15.0,2.0,0.5,-2.299999999999999,0.1,True
143,15.0,2.0,0.5,-2.299999999999999,0.1,True
144,15.0,2.0,0.5,-2.299999999999999,0.1,True
145,15.0,2.0,0.5,-2.299999999999999,0.1,True
146,15.0,2.0,0.5,-2.299999999999999,0.1,True
147,15.0,2.0,0.5,-2.299999999999999,0.1,True
148,15.0,2.0,0.5,-2.299999999999999,0.1,True
149,15.0,2.0,0.5,-2.299999999999999,0.1,True
150,16.0,2.0,0.5,-2.199999999999999,0.1,True
151,16.0,2.0,0.5,-2.199999999999999,0.1,True
152,16.0,2.0,0.5,-2.199999999999999,0.1,True
153,16.0,2.0,0.5,-2.199999999999999,0.1,True
154,16.0,2.0,0.5,-2.199999999999999,0.1,True
155,16.0,2.0,0.5,-2.199999999999999,0.1,True
156,16.0,2.0,0.5,-2.199999999999999,0.1,True
157,16.0,2.0,0.5,-2.199999999999999,0.1,True
158,16.0,2.0,0.5,-2.199999999999999,0.1,True
159,16.0,2.0,0.5,-2.199999999999999,0.1,True
160,17.0,2.0,0.5,-2.0999999999999988,0.1,True
161,17.0,2.0,0.5,-2.0999999999999988,0.1,True
162,17.0,2.0,0.5,-2.0999999999999988,0.1,True
163,17.0,2.0,0.5,-2.0999999999999988,0.1,True
164,17.0,2.0,0.5,-2.0999999999999988,0.1,True
165,17.0,2.0,0.5,-2.0999999999999988,0.1,True
166,17.0,2.0,0.5,-2.0999999999999988,0.1,True
167,17.0,2.0,0.5,-2.0999999999999988,0.1,True
168,17.0,2.0,0.5,-2.0999999999999988,0.1,True
169,17.0,2.0,0.5,-2.0999999999999988,0.1,True
170,18.0,2.0,0.5,-1.999999999999999,0.1,True
171,18.0,2.0,0.5,-1.999999999999999,0.1,True
172,18.0,2.0,0.5,-1.999999999999999,0.1,True
173,18.0,2.0,0.5,-1.999999999999999,0.1,True
174,18.0,2.0,0.5,-1.999999999999999,0.1,True
175,18.0,2.0,0.5,-1.999999999999999,0.1,True
176,18.0,2.0,0.5,-1.999999999999999,0.1,True
177,18.0,2.0,0.5,-1.999999999999999,0.1,True
178,18.0,2.0,0.5,-1.999999999999999,0.1,True
179,18.0,2.0,0.5,-1.999999999999999,0.1,True
180,19.0,2.0,0.5,-1.8999999999999984,0.1,True
181,19.0,2.0,0.5,-1.8999999999999984,0.1,True
182,19.0,2.0,0.5,-1.8999999999999984,0.1,True
