Trial,Truth,Measured Stimulus,Decision,HP
1,True,0.6332726228826739,True,1002
2,True,1.7684043650170147,True,1004
3,True,0.142272713911765,True,1006
4,False,-0.2928084237456264,False,1005
5,False,-1.7775196115573701,False,1002
6,False,-2.749349036633543,True,1000
7,True,0.46748985751328065,True,1002
8,False,-1.6288745773706823,False,1001
9,True,0.47101109891018994,True,1003
10,True,0.44039899490087075,True,1005
11,True,0.6569607671860609,True,1007
12,False,-1.9432832371844848,False,1006
13,True,1.0535122251035611,True,1008
14,False,-0.2556888166917458,False,1007
15,True,0.18274903377733442,True,1009
16,False,0.16569026965475198,True,1007
17,False,-0.7573300193915404,False,1006
18,True,2.1319821560395384,True,1008
19,False,-0.4184425449711939,False,1007
20,False,-0.9385483986443338,False,1004
21,False,-1.6676348051619043,True,1002
22,False,0.22792921834158736,True,1000
23,True,0.9336148015887483,True,1002
24,True,0.33898166799253326,True,1004
25,True,0.6698241053763994,True,1006
26,False,-0.6249931240302582,False,1005
27,True,0.5103422426369054,True,1007
28,False,-1.0623374122289257,False,1006
29,True,0.6497725346153509,True,1008
30,False,-0.6831444732515679,False,1007
31,True,0.5874649793263877,True,1009
32,True,1.090811055741943,True,1011
33,False,-0.43153985150387864,False,1010
34,True,0.595912362163735,True,1012
35,False,-0.2849854408443431,False,1011
36,False,-0.8485086151553081,False,1008
37,True,1.5180292296163242,True,1010
38,True,0.7640298767820847,True,1012
39,True,0.276867362660765,True,1014
40,True,0.29015851064045395,True,1016
41,True,1.7302960639903597,True,1018
42,True,0.3998703104510136,True,1020
43,True,1.021980806039267,True,1022
44,False,-0.9994845498866155,False,1021
45,False,-0.29945685418220236,False,1018
46,True,1.4169511208415901,True,1020
47,True,2.1069596693572734,True,1022
48,True,0.07787049073328967,True,1024
49,True,1.5470210626948149,True,1026
50,False,-0.5488241017971996,False,1025
51,False,-0.3468923832821583,False,1022
52,False,-1.046875889569442,True,1020
53,False,-0.010406513534839235,False,1019
54,False,-0.47771925329450854,False,1016
55,False,-0.45828667318954597,True,1014
56,False,-0.5598185101246281,False,1013
57,True,0.2585701487596738,True,1015
58,False,-1.4330240288942266,False,1014
59,False,-1.0544126064311952,False,1011
60,True,0.24784257632985213,True,1013
61,True,-0.20970091697211862,False,1012
62,False,-1.6571693754277974,False,1009
63,False,-1.8537891538125517,True,1007
64,False,-1.0870456998149036,False,1006
65,False,0.16551734789923253,True,1004
66,True,0.404361579212545,True,1006
67,False,-0.759420143315437,False,1005
68,False,-0.46148361903935686,False,1002
69,False,-0.4481446620643764,True,1000
70,False,-0.7184542493819299,False,999
71,True,0.3079489829309379,True,1001
72,True,1.6789865380663893,True,1003
73,False,-0.9259359850282749,False,1002
74,False,-0.7403386145315317,False,999
75,True,0.15886987370115818,True,1001
76,True,0.5235615549684445,True,1003
77,True,1.0991898813593841,True,1005
78,False,-0.3155693048424355,False,1004
79,True,2.74633943855325,True,1006
80,False,0.21021727320031008,True,1004
81,True,0.40619890781106505,True,1006
82,True,0.6384883687104701,True,1008
83,False,-0.13922213130435482,False,1007
84,False,-0.43784792899312913,False,1004
85,False,-1.7232115279712823,True,1002
86,True,1.5217715157313192,True,1004
87,True,0.8653852066244799,True,1006
88,False,-1.7062750113463458,False,1005
89,False,-0.39964096875099625,False,1002
90,False,-0.2786576684780048,True,1000
91,True,0.6110638186398755,True,1002
92,False,-0.9378992365334509,False,1001
93,False,-2.292107560623492,False,998
94,True,0.9785795360606966,True,1000
95,True,0.6429230312003682,True,1002
96,False,-2.3707441178453457,False,1001
97,True,0.5329886330836998,True,1003
98,False,-1.3148061330036063,False,1002
99,False,-0.9605809697647291,False,999
100,True,1.0166023736243897,True,1001
101,False,-1.6445212943311187,False,1000
102,False,-0.22006439975137618,False,997
103,False,-1.9833740034464051,True,995
104,True,-0.0114949362741327,False,994
105,True,-0.2102013362269171,False,991
106,False,-1.329317720877353,True,989
107,False,-0.19702393348916303,False,988
108,False,-0.20131915138630982,False,985
109,False,-0.02945563252042374,True,983
110,True,0.9453535647549468,True,985
111,True,1.5617047977635516,True,987
112,False,-0.5631347568742414,False,986
113,False,0.14856821346178395,True,984
114,True,0.6887116373514227,True,986
115,False,-2.0356534376998505,False,985
116,True,0.20255287660788096,True,987
117,True,0.4157977556796978,True,989
118,False,-1.1686109192026086,False,988
119,False,0.004569733850844249,True,986
120,True,1.0509090545732318,True,988
121,False,-1.2985617691234124,False,987
122,False,-1.137684720379278,False,984
123,False,-0.7569366113965647,True,982
124,False,-0.09513824999054427,False,981
125,True,1.3689714903227166,True,983
126,True,0.8293675955332407,True,985
127,True,2.0746889238529396,True,987
128,True,0.9507724518647126,True,989
129,True,1.331664964362635,True,991
130,False,-0.9924105197587557,False,990
131,False,-0.4638439428984296,False,987
132,True,0.9301274004476996,True,989
133,False,-1.0637336134317916,False,988
134,True,0.3787637182958984,True,990
135,True,0.81083435519852,True,992
136,True,0.6478088752962867,True,994
137,False,-0.21997838581510715,False,993
138,False,-0.5310177531262054,False,990
139,True,0.6191372103238793,True,992
140,False,-0.07728729024705494,False,991
141,False,-0.19547759459972497,False,988
142,True,0.6786996031499396,True,990
143,True,0.8243782419857716,True,992
144,False,-1.7685985722285233,False,991
145,False,-0.5756381440895659,False,988
146,False,-1.0686212023751596,True,986
147,False,-0.9436492850752863,False,985
148,True,0.9606183952245205,True,987
149,False,-0.5588913982186453,False,986
150,False,-0.7795245071652503,False,983
151,False,-0.9785596247010162,True,981
152,True,1.3684238105629873,True,983
153,False,-2.42874708660135,False,982
